model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
HouseConstruction-PT-100_LTLS_6_F_,ufscc,64,spotba,1802,0.810,2016-07-15.00:59:12,3374,62320,206983,64647,212477,1,3,0,64647,61269,2,-1
HouseConstruction-PT-200_LTLF_0_F_,ufscc,64,spotba,3602,0.820,2016-07-15.00:59:17,0,175833,595912,176918,599192,1,0,0,176918,176918,2,-1
HouseConstruction-PT-200_LTLF_10_F_,ufscc,64,spotba,3602,0.800,2016-07-15.00:59:19,0,170406,579802,172429,584713,1,0,0,172429,172429,3,-1
HouseConstruction-PT-200_LTLF_11_F_,ufscc,64,spotba,3602,0.840,2016-07-15.00:59:22,0,164159,560266,165896,564562,1,0,0,165896,165896,2,-1
HouseConstruction-PT-200_LTLF_12_F_,ufscc,64,spotba,3602,0.880,2016-07-15.00:59:24,0,168725,575128,174100,587765,1,0,0,174100,174100,3,-1
HouseConstruction-PT-200_LTLF_14_F_,ufscc,64,spotba,3602,0.910,2016-07-15.00:59:27,0,177302,608901,178300,611353,1,0,0,178300,178300,4,-1
HouseConstruction-PT-200_LTLF_15_F_,ufscc,64,spotba,3602,0.840,2016-07-15.00:59:29,0,161112,544020,164288,551797,1,0,0,164288,164288,2,-1
HouseConstruction-PT-200_LTLF_1_F_,ufscc,64,spotba,3602,0.830,2016-07-15.00:59:31,0,186783,634233,188015,637686,1,0,0,188015,188015,7,-1
HouseConstruction-PT-200_LTLF_4_F_,ufscc,64,spotba,3602,0.880,2016-07-15.00:59:34,0,153675,531360,158439,542553,1,0,0,158439,158439,3,-1
HouseConstruction-PT-200_LTLF_5_F_,ufscc,64,spotba,3602,0.800,2016-07-15.00:59:36,0,157724,556168,159430,560760,1,0,0,159430,159430,2,-1
HouseConstruction-PT-200_LTLF_6_F_,ufscc,64,spotba,3602,0.840,2016-07-15.00:59:39,0,170262,575643,173752,583736,1,0,0,173752,173752,2,-1
HouseConstruction-PT-200_LTLS_6_F_,ufscc,64,spotba,3602,0.820,2016-07-15.00:59:41,8657,181577,603460,183045,607456,1,4,0,183045,174374,2,-1
HouseConstruction-PT-200_LTLS_8_F_,ufscc,64,spotba,3602,0.870,2016-07-15.00:59:43,10873,197070,647654,200295,656150,1,346,0,200295,189125,2,-1
HouseConstruction-PT-500_LTLF_10_F_,ufscc,64,spotba,9002,1.020,2016-07-15.00:59:51,0,427663,1474833,429107,1478479,1,0,0,429107,429107,2,-1
HouseConstruction-PT-500_LTLF_11_F_,ufscc,64,spotba,9002,1.070,2016-07-15.00:59:53,0,481510,1628923,483138,1633373,1,0,0,483138,483138,4,-1
HouseConstruction-PT-500_LTLF_12_F_,ufscc,64,spotba,9002,1.100,2016-07-15.00:59:56,0,476771,1613330,478149,1616698,1,0,0,478149,478149,4,-1
HouseConstruction-PT-500_LTLF_13_F_,ufscc,64,spotba,9002,1.100,2016-07-15.00:59:59,0,459324,1547917,463708,1558827,1,0,0,463708,463708,3,-1
HouseConstruction-PT-500_LTLF_15_F_,ufscc,64,spotba,9002,1.030,2016-07-15.01:00:02,0,442273,1500856,443913,1504935,1,0,0,443913,443913,2,-1
HouseConstruction-PT-500_LTLF_1_F_,ufscc,64,spotba,9002,1.070,2016-07-15.01:00:05,0,412513,1430302,414154,1434681,1,0,0,414154,414154,2,-1
HouseConstruction-PT-500_LTLF_2_F_,ufscc,64,spotba,9002,1.080,2016-07-15.01:00:07,0,453362,1555130,455023,1559309,1,0,0,455023,455023,2,-1
HouseConstruction-PT-500_LTLF_3_F_,ufscc,64,spotba,9002,1.130,2016-07-15.01:00:10,0,452558,1536226,454624,1541220,1,0,0,454624,454624,2,-1
HouseConstruction-PT-500_LTLF_5_F_,ufscc,64,spotba,9002,1.090,2016-07-15.01:00:13,0,442050,1533795,443910,1538120,1,0,0,443910,443910,2,-1
