model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
lamport_nonatomic.5_F_05,ufscc,64,spotba,21,0.300,2016-07-14.14:24:37,0,906,4845,1128,6032,82,0,12,1128,1128,2,-1
lamport_nonatomic.5_F_06,ufscc,64,spotba,7,0.150,2016-07-14.14:24:49,0,270,1650,461,3247,1,0,0,461,461,2,-1
lann.1_F_01,ufscc,64,spotba,18,0.160,2016-07-14.14:24:51,62,787,1691,1998,4242,17,89,1,1998,1717,2,-1
lann.1_F_02,ufscc,64,spotba,22,0.130,2016-07-14.14:24:53,12,468,1167,1045,2705,4,0,0,1045,1031,2,-1
lann.1_F_03,ufscc,64,spotba,23,0.260,2016-07-14.14:24:55,84,1053,2247,1934,4163,11,67,1,1934,1722,2,-1
lann.1_F_04,ufscc,64,spotba,22,0.170,2016-07-14.14:24:58,456,884,1872,2077,5108,3,627,0,2077,1070,2,-1
lann.2_F_01,ufscc,64,spotba,54,0.210,2016-07-14.14:25:01,0,1181,2903,2483,5835,0,0,14,2481,2481,2,-1
lann.2_F_03,ufscc,64,spotba,38,0.210,2016-07-14.14:25:04,0,1271,2990,2308,5480,0,0,2,2308,2308,2,-1
lann.3_F_01,ufscc,64,spotba,48,0.250,2016-07-14.14:25:06,682,2013,5247,3194,8168,126,930,3,3194,2286,2,-1
lann.3_F_02,ufscc,64,spotba,12,0.110,2016-07-14.14:25:08,0,251,1100,501,2367,1,0,0,501,501,2,-1
lann.3_F_03,ufscc,64,spotba,50,0.240,2016-07-14.14:25:11,459,1667,4186,2982,7280,150,539,4,2981,2263,2,-1
lann.3_F_04,ufscc,64,spotba,13,0.110,2016-07-14.14:25:13,21,220,923,441,2090,2,6,0,441,417,2,-1
lann.4_F_01,ufscc,64,spotba,71,0.370,2016-07-14.14:25:17,1852,3767,9101,4175,10575,53,2040,1,4175,2558,2,-1
lann.4_F_02,ufscc,64,spotba,35,0.250,2016-07-14.14:25:21,1,932,3181,1164,4419,1,0,0,1164,1163,2,-1
lann.4_F_03,ufscc,64,spotba,38,0.300,2016-07-14.14:25:24,38,1562,4429,1809,5558,4,22,0,1809,1782,2,-1
lann.4_F_04,ufscc,64,spotba,38,0.500,2016-07-14.14:25:28,5473,6454,12957,8455,18954,3,5188,0,8455,1609,2,-1
lann.5_F_01,ufscc,64,spotba,53,0.420,2016-07-14.14:25:31,235,2360,7205,2708,8684,8,232,1,2708,2503,2,-1
lann.5_F_02,ufscc,64,spotba,41,0.330,2016-07-14.14:25:34,2,1427,5267,1711,6768,1,0,0,1711,1709,2,-1
lann.5_F_03,ufscc,64,spotba,93,0.420,2016-07-14.14:25:36,525,3256,9119,3687,10704,10,509,1,3687,3237,2,-1
lann.5_F_04,ufscc,64,spotba,42,0.560,2016-07-14.14:25:39,9412,10735,25269,12079,29271,2,11056,0,12079,1903,2,-1
lann.6_F_01,ufscc,64,spotba,30,0.180,2016-07-14.14:25:44,62,931,2532,1419,3996,79,37,3,1419,1342,2,-1
lann.6_F_02,ufscc,64,spotba,12,0.120,2016-07-14.14:25:47,0,60,301,230,1197,1,0,0,230,230,2,-1
lann.6_F_03,ufscc,64,spotba,28,0.190,2016-07-14.14:25:50,98,943,2559,1528,4222,100,35,1,1528,1377,2,-1
lann.6_F_04,ufscc,64,spotba,14,0.120,2016-07-14.14:25:53,5,133,600,339,1676,1,1,0,339,334,2,-1
lann.7_F_01,ufscc,64,spotba,61,0.320,2016-07-14.14:25:56,1616,3164,8171,4138,10762,238,2021,1,4138,2393,2,-1
lann.7_F_02,ufscc,64,spotba,16,0.140,2016-07-14.14:26:00,0,255,1458,464,2775,1,0,0,464,464,2,-1
lann.7_F_03,ufscc,64,spotba,59,0.330,2016-07-14.14:26:05,1495,3056,7877,3929,10218,235,1652,1,3929,2340,2,-1
lann.7_F_04,ufscc,64,spotba,16,0.180,2016-07-14.14:26:08,22,341,1706,542,2862,1,0,0,542,520,2,-1
leader_filters.1_F_01,ufscc,64,spotba,16,0.070,2016-07-14.14:26:12,0,87,219,307,943,1,0,0,307,307,2,-1
leader_filters.2_F_01,ufscc,64,spotba,30,0.170,2016-07-14.14:26:15,0,777,1933,1118,2986,1,0,0,1118,1118,2,-1
leader_filters.3_F_01,ufscc,64,spotba,17,0.140,2016-07-14.14:26:17,0,497,1418,774,2486,2,0,0,774,774,2,-1
leader_filters.4_F_01,ufscc,64,spotba,17,0.130,2016-07-14.14:26:20,0,367,1092,651,2178,2,0,0,651,651,2,-1
leader_filters.5_F_01,ufscc,64,spotba,18,0.160,2016-07-14.14:26:22,0,487,1811,668,2779,1,0,0,668,668,2,-1
leader_filters.6_F_01,ufscc,64,spotba,43,0.300,2016-07-14.14:26:25,0,1402,6062,1633,7279,1,0,0,1633,1633,2,-1
