model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
cyclic_scheduler.3_F_143,ufscc,64,spotba,91,0.660,2016-07-15.07:35:14,405,6548,24674,8596,30584,0,101,2650,8479,7313,12,-1
cyclic_scheduler.3_F_144,ufscc,64,spotba,91,0.320,2016-07-15.07:35:21,0,1584,9510,3176,15553,0,0,1,3176,3176,7,-1
cyclic_scheduler.3_F_145,ufscc,64,spotba,96,0.390,2016-07-15.07:35:24,816,3260,15756,5738,26448,0,508,1,5738,4647,12,-1
cyclic_scheduler.3_F_146,ufscc,64,spotba,92,0.520,2016-07-15.07:35:28,48,6093,21690,9053,28637,0,45,3219,8993,7920,16,-1
cyclic_scheduler.3_F_147,ufscc,64,spotba,91,0.700,2016-07-15.07:35:32,4452,6796,25883,10683,43044,0,2078,2,10683,4866,72,-1
cyclic_scheduler.3_F_148,ufscc,64,spotba,91,0.400,2016-07-15.07:35:35,0,2750,10146,4415,14634,0,0,212,4368,4326,20,-1
cyclic_scheduler.3_F_149,ufscc,64,spotba,126,0.460,2016-07-15.07:35:38,49,3903,12492,6026,18845,0,4,1,6026,5944,38,-1
cyclic_scheduler.3_F_150,ufscc,64,spotba,91,0.330,2016-07-15.07:35:46,0,1811,5971,3840,9813,0,0,1,3840,3840,7,-1
cyclic_scheduler.3_F_151,ufscc,64,spotba,91,0.370,2016-07-15.07:35:54,1,2498,8330,4628,12757,0,0,3,4628,4627,13,-1
cyclic_scheduler.3_F_152,ufscc,64,spotba,121,0.730,2016-07-15.07:36:02,0,9894,37454,12795,46106,0,0,9472,12594,10044,15,-1
cyclic_scheduler.3_F_153,ufscc,64,spotba,91,0.660,2016-07-15.07:36:10,6198,8860,27216,11939,36936,0,5852,468,11855,4419,13,-1
cyclic_scheduler.3_F_154,ufscc,64,spotba,125,0.600,2016-07-15.07:36:14,216,7889,29415,10487,36380,0,367,4486,10401,8920,22,-1
cyclic_scheduler.3_F_155,ufscc,64,spotba,90,1.300,2016-07-15.07:36:18,224125,437723,3082380,449158,3176513,0,1348331,1314217,445289,81777,13,-1
cyclic_scheduler.3_F_156,ufscc,64,spotba,90,0.430,2016-07-15.07:36:23,328,3917,12062,6282,17271,0,160,545,6260,5769,21,-1
cyclic_scheduler.3_F_157,ufscc,64,spotba,90,0.370,2016-07-15.07:36:32,188,2430,9005,4747,18181,0,135,6,4744,4494,5,-1
cyclic_scheduler.3_F_158,ufscc,64,spotba,91,0.530,2016-07-15.07:36:35,4031,6488,23374,10280,35906,0,11532,44,10275,4573,11,-1
cyclic_scheduler.3_F_159,ufscc,64,spotba,91,0.430,2016-07-15.07:36:38,1394,3913,25102,5823,36618,0,5943,11,5823,4218,19,-1
cyclic_scheduler.3_F_160,ufscc,64,spotba,107,0.370,2016-07-15.07:36:42,114,2817,10072,4522,15308,0,120,1,4522,4425,14,-1
cyclic_scheduler.3_F_161,ufscc,64,spotba,99,0.320,2016-07-15.07:36:45,0,2346,7906,4297,12114,0,0,2,4297,4297,18,-1
cyclic_scheduler.3_F_162,ufscc,64,spotba,91,0.370,2016-07-15.07:36:48,544,2135,7509,3919,13438,0,230,1,3919,3242,17,-1
cyclic_scheduler.3_F_163,ufscc,64,spotba,97,0.340,2016-07-15.07:36:52,0,2417,7726,4805,12569,0,0,6,4803,4803,8,-1
cyclic_scheduler.3_F_164,ufscc,64,spotba,97,0.490,2016-07-15.07:36:55,796,3333,18247,5318,26992,0,320,14,5316,4386,7,-1
cyclic_scheduler.3_F_165,ufscc,64,spotba,89,1.310,2016-07-15.07:37:00,724764,731624,4326605,898336,6265161,0,4404854,4160,898282,10654,31,-1
cyclic_scheduler.3_F_166,ufscc,64,spotba,91,0.350,2016-07-15.07:37:03,1208,2884,15010,5077,24150,0,7220,2,5077,3335,47,-1
cyclic_scheduler.3_F_168,ufscc,64,spotba,91,0.350,2016-07-15.07:37:14,372,2035,9611,3746,15976,0,79,1,3746,3268,14,-1
cyclic_scheduler.3_F_169,ufscc,64,spotba,172,0.830,2016-07-15.07:37:18,16409,19925,79405,30062,123954,0,55690,897,29992,5678,15,-1
cyclic_scheduler.3_F_170,ufscc,64,spotba,91,0.460,2016-07-15.07:37:22,3932,5522,20510,11147,43802,0,17085,1,11147,3152,10,-1
cyclic_scheduler.3_F_171,ufscc,64,spotba,91,0.200,2016-07-15.07:37:25,22,833,2507,2206,5495,0,0,1,2206,2183,13,-1
cyclic_scheduler.3_F_172,ufscc,64,spotba,91,0.360,2016-07-15.07:37:31,166,2284,7104,4524,11566,0,64,5,4524,4360,20,-1
cyclic_scheduler.3_F_173,ufscc,64,spotba,91,0.310,2016-07-15.07:37:39,0,1976,6288,4016,10338,0,0,4,4016,4016,6,-1
cyclic_scheduler.3_F_174,ufscc,64,spotba,91,0.380,2016-07-15.07:37:42,458,1925,7122,3746,15288,0,754,1,3746,2755,13,-1
cyclic_scheduler.3_F_175,ufscc,64,spotba,118,0.510,2016-07-15.07:37:49,1364,3709,12890,5907,20847,0,1250,3,5905,4184,22,-1
cyclic_scheduler.3_F_176,ufscc,64,spotba,90,0.380,2016-07-15.07:37:53,3263,3896,14856,11231,47642,0,19910,1,11231,2407,10,-1
cyclic_scheduler.3_F_177,ufscc,64,spotba,90,0.350,2016-07-15.07:38:00,7,2567,13511,4322,21384,0,0,96,4312,4295,12,-1
cyclic_scheduler.3_F_178,ufscc,64,spotba,90,0.440,2016-07-15.07:38:04,2186,3567,12056,20797,91810,0,34320,1,20797,3006,45,-1
cyclic_scheduler.3_F_179,ufscc,64,spotba,91,0.850,2016-07-15.07:38:07,18479,20395,92117,44834,219522,0,114854,1,44834,4787,28,-1
cyclic_scheduler.3_F_180,ufscc,64,spotba,98,0.430,2016-07-15.07:38:11,802,2700,9357,4135,14304,0,354,1,4135,3200,34,-1
cyclic_scheduler.3_F_181,ufscc,64,spotba,92,0.320,2016-07-15.07:38:14,0,2027,6514,4673,11874,0,0,3,4673,4673,30,-1
cyclic_scheduler.3_F_182,ufscc,64,spotba,117,0.730,2016-07-15.07:38:17,798,9143,44664,11938,55643,0,1469,5657,11793,9736,12,-1
cyclic_scheduler.3_F_183,ufscc,64,spotba,91,0.300,2016-07-15.07:38:20,0,1819,5732,3735,9453,0,0,3,3735,3735,10,-1
cyclic_scheduler.3_F_184,ufscc,64,spotba,93,0.350,2016-07-15.07:38:24,47,2292,7321,5688,14125,0,344,1,5688,4677,8,-1
cyclic_scheduler.3_F_185,ufscc,64,spotba,92,1.500,2016-07-15.07:38:30,1262663,1477803,9334479,1655683,11236875,0,7311376,1287896,1647440,80753,22,-1
cyclic_scheduler.3_F_186,ufscc,64,spotba,90,1.390,2016-07-15.07:38:35,347392,829897,6470069,974444,7829108,0,2767502,3323378,921804,126294,22,-1
cyclic_scheduler.3_F_187,ufscc,64,spotba,92,1.500,2016-07-15.07:38:44,582797,902874,8879695,1171322,11565217,0,6950226,1985491,1117853,81588,14,-1
cyclic_scheduler.3_F_188,ufscc,64,spotba,91,0.410,2016-07-15.07:38:48,966,3056,12888,5293,20668,0,1908,2,5293,4208,12,-1
elevator2.3_F_001,ufscc,64,spotba,17255,3.220,2016-07-15.07:38:54,5913591,11323481,117342534,11335177,117486697,0,69274650,29032260,11328248,892533,9,-1
