model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
S_Eratosthenes-PT-100_LTLF_8_F_,ndfs,1,spotba,76,1.210,2016-07-05.16:05:28,-1,-1,-1,75,8156,-1,-1,-1,-1,-1,4,-1
S_Eratosthenes-PT-100_LTLF_9_F_,ndfs,1,spotba,76,1.210,2016-07-05.16:05:30,-1,-1,-1,75,8331,-1,-1,-1,-1,-1,2,-1
S_Eratosthenes-PT-100_LTLS_10_F_,ndfs,1,spotba,76,1.200,2016-07-05.16:05:31,-1,-1,-1,75,7990,-1,-1,-1,-1,-1,2,-1
S_Eratosthenes-PT-100_LTLS_11_F_,ndfs,1,spotba,76,1.210,2016-07-05.16:05:32,-1,-1,-1,125,7977,-1,-1,-1,-1,-1,3,-1
S_Eratosthenes-PT-100_LTLS_12_F_,ndfs,1,spotba,76,1.200,2016-07-05.16:05:34,-1,-1,-1,75,8847,-1,-1,-1,-1,-1,2,-1
S_Eratosthenes-PT-100_LTLS_13_F_,ndfs,1,spotba,76,1.210,2016-07-05.16:05:35,-1,-1,-1,123,8681,-1,-1,-1,-1,-1,3,-1
S_Eratosthenes-PT-100_LTLS_14_F_,ndfs,1,spotba,76,1.200,2016-07-05.16:05:36,-1,-1,-1,92,8341,-1,-1,-1,-1,-1,3,-1
S_Eratosthenes-PT-100_LTLS_15_F_,ndfs,1,spotba,76,1.200,2016-07-05.16:05:37,-1,-1,-1,75,8125,-1,-1,-1,-1,-1,2,-1
S_Eratosthenes-PT-100_LTLS_3_F_,ndfs,1,spotba,76,1.200,2016-07-05.16:05:39,-1,-1,-1,75,8082,-1,-1,-1,-1,-1,2,-1
S_Eratosthenes-PT-100_LTLS_8_F_,ndfs,1,spotba,76,1.200,2016-07-05.16:05:40,-1,-1,-1,75,8178,-1,-1,-1,-1,-1,2,-1
S_Eratosthenes-PT-100_LTLS_9_F_,ndfs,1,spotba,76,1.200,2016-07-05.16:05:41,-1,-1,-1,75,8913,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLF_13_F_,ndfs,1,spotba,1004,0.810,2016-07-05.16:05:42,-1,-1,-1,1003,3007,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLF_5_F_,ndfs,1,spotba,2004,1.280,2016-07-05.16:05:44,-1,-1,-1,2003,9006,-1,-1,-1,-1,-1,4,-1
S_ERK-PT-001000_LTLF_9_F_,ndfs,1,spotba,2003002,11.450,2016-07-05.16:05:55,-1,-1,-1,2003001,10497511,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-001000_LTLS_0_F_,ndfs,1,spotba,21978,2.680,2016-07-05.16:05:58,-1,-1,-1,21977,134785,-1,-1,-1,-1,-1,2,-1
