model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
anderson.5_T_03,ufscc,64,spotba,37,0.250,2016-07-04.22:38:54,0,2208,6507,2435,7595,0,0,1,2435,2435,2,-1
anderson.6_F_01,ufscc,64,spotba,40,0.240,2016-07-04.22:38:57,0,1873,5754,2058,6917,0,0,1,2058,2058,2,-1
anderson.6_F_05,ufscc,64,spotba,41,0.230,2016-07-04.22:39:00,0,1839,5934,2006,6991,0,0,2,2006,2006,2,-1
anderson.6_F_08,ufscc,64,spotba,31,0.350,2016-07-04.22:39:02,2466,4566,11283,4740,12989,0,1718,50,4740,2451,3,-1
anderson.6_T_02,ufscc,64,spotba,-1,6.000,2016-07-04.22:39:11,11108112,29315027,181632960,35502623,230993083,0,85278890,72520914,30007774,5682517,2,-1
anderson.6_T_03,ufscc,64,spotba,42,0.230,2016-07-04.22:39:13,0,1848,5700,2029,6828,0,0,2,2029,2029,2,-1
anderson.6_T_04,ufscc,64,spotba,31,0.320,2016-07-04.22:39:16,3033,4587,11091,4757,12771,0,2317,2,4757,1951,2,-1
anderson.6_T_06,ufscc,64,spotba,-1,7.070,2016-07-04.22:39:25,17912756,36119671,219116316,41229537,261235793,0,116252054,71242424,36566440,5647872,2,-1
anderson.6_T_07,ufscc,64,spotba,-1,4.580,2016-07-04.22:39:32,1325423,19532338,93264408,25476078,121779460,0,5034942,71837059,19935590,5629197,3,-1
anderson.6_T_09,ufscc,64,spotba,-1,9.080,2016-07-04.22:39:43,2,18206917,421708752,22895687,531974228,0,35,422502170,18560313,5679906,2,-1
anderson.7_F_01,ufscc,64,spotba,38,0.340,2016-07-04.22:39:46,0,3097,11261,3269,12347,0,0,2,3269,3269,2,-1
anderson.7_F_02,ufscc,64,spotba,56,0.330,2016-07-04.22:39:48,1479,3897,10787,4076,12029,0,729,1,4076,2640,2,-1
anderson.7_F_05,ufscc,64,spotba,35,0.290,2016-07-04.22:39:52,0,2501,9163,2669,10218,0,0,1,2669,2669,2,-1
anderson.7_F_06,ufscc,64,spotba,1308,0.550,2016-07-04.22:39:54,198790,212351,560625,215078,574561,1,301559,395,215078,13903,2,-1
anderson.7_F_07,ufscc,64,spotba,81,0.460,2016-07-04.22:39:57,245,6045,24222,6229,25376,0,176,53,6229,5988,3,-1
anderson.7_F_09,ufscc,64,spotba,77,0.390,2016-07-04.22:39:59,0,4019,62598,4194,68836,0,0,19,4194,4193,2,-1
anderson.7_T_03,ufscc,64,spotba,39,0.330,2016-07-04.22:40:02,0,2835,10434,3025,11608,0,0,2,3025,3025,2,-1
anderson.8_F_01,ufscc,64,spotba,47,0.280,2016-07-04.22:40:05,0,2289,7671,2447,8817,0,0,1,2447,2447,2,-1
anderson.8_F_05,ufscc,64,spotba,48,0.260,2016-07-04.22:40:08,0,1822,6513,1980,7676,0,0,1,1980,1980,2,-1
anderson.8_F_08,ufscc,64,spotba,36,0.400,2016-07-04.22:40:10,3576,5953,14576,6108,16326,0,2906,22,6108,2755,3,-1
anderson.8_T_03,ufscc,64,spotba,49,0.270,2016-07-04.22:40:14,0,2155,7146,2319,8334,0,0,1,2319,2319,2,-1
at.1_F_01,ufscc,64,spotba,1,0.010,2016-07-04.22:40:17,0,1,4,64,320,64,0,0,64,64,2,-1
at.1_F_02,ufscc,64,spotba,3,0.030,2016-07-04.22:40:20,0,24,124,220,1124,165,0,0,220,220,2,-1
at.1_F_05,ufscc,64,spotba,11,0.060,2016-07-04.22:40:24,0,264,746,648,2110,131,0,0,648,648,2,-1
at.1_F_06,ufscc,64,spotba,2,0.020,2016-07-04.22:40:25,0,5,28,128,912,128,0,0,128,128,2,-1
at.1_T_03,ufscc,64,spotba,8,0.060,2016-07-04.22:40:27,0,193,583,524,1829,133,0,0,524,524,2,-1
at.1_T_04,ufscc,64,spotba,2,0.030,2016-07-04.22:40:28,0,5,28,128,896,128,0,0,128,128,2,-1
at.2_F_01,ufscc,64,spotba,1,0.010,2016-07-04.22:40:31,0,1,4,64,320,64,0,0,64,64,2,-1
at.2_F_02,ufscc,64,spotba,3,0.030,2016-07-04.22:40:34,0,22,112,214,1076,169,0,0,214,214,2,-1
at.2_F_05,ufscc,64,spotba,8,0.050,2016-07-04.22:40:36,0,206,627,556,1937,120,0,0,556,556,2,-1
at.2_F_06,ufscc,64,spotba,2,0.020,2016-07-04.22:40:37,0,5,28,128,892,128,0,0,128,128,2,-1
at.2_T_03,ufscc,64,spotba,7,0.040,2016-07-04.22:40:41,0,184,597,494,1830,121,0,0,494,494,2,-1
at.2_T_04,ufscc,64,spotba,2,0.020,2016-07-04.22:40:43,0,5,28,128,900,128,0,0,128,128,2,-1
at.3_F_01,ufscc,64,spotba,1,0.010,2016-07-04.22:40:45,0,1,5,64,384,64,0,0,64,64,2,-1
at.3_F_02,ufscc,64,spotba,3,0.040,2016-07-04.22:40:46,0,40,245,219,1384,182,0,0,219,219,2,-1
at.3_F_05,ufscc,64,spotba,8,0.070,2016-07-04.22:40:50,0,327,1259,578,2536,131,0,0,578,578,2,-1
at.3_F_06,ufscc,64,spotba,2,0.030,2016-07-04.22:40:52,0,8,65,128,1214,128,0,0,128,128,2,-1
at.3_T_03,ufscc,64,spotba,7,0.060,2016-07-04.22:40:54,0,209,883,456,2155,136,0,0,456,456,2,-1
at.3_T_04,ufscc,64,spotba,2,0.030,2016-07-04.22:40:56,0,8,65,127,1209,127,0,0,127,127,2,-1
at.4_F_01,ufscc,64,spotba,1,0.010,2016-07-04.22:40:58,0,1,6,64,448,64,0,0,64,64,2,-1
at.4_F_02,ufscc,64,spotba,3,0.040,2016-07-04.22:41:01,0,56,390,231,1600,182,0,0,231,231,2,-1
at.4_F_05,ufscc,64,spotba,9,0.080,2016-07-04.22:41:03,0,263,1367,470,2658,135,0,0,470,470,2,-1
at.4_F_06,ufscc,64,spotba,2,0.040,2016-07-04.22:41:08,0,10,90,128,1372,128,0,0,128,128,2,-1
at.4_T_03,ufscc,64,spotba,9,0.080,2016-07-04.22:41:10,0,308,1486,513,2772,171,0,0,513,513,2,-1
at.4_T_04,ufscc,64,spotba,2,0.040,2016-07-04.22:41:12,0,10,90,128,1390,128,0,0,128,128,2,-1
at.5_F_01,ufscc,64,spotba,1,0.010,2016-07-04.22:41:14,0,1,6,64,448,64,0,0,64,64,2,-1
at.5_F_02,ufscc,64,spotba,3,0.040,2016-07-04.22:41:16,0,70,485,245,1670,192,0,0,245,245,2,-1
at.5_F_05,ufscc,64,spotba,8,0.090,2016-07-04.22:41:21,0,403,1797,626,3132,142,0,0,626,626,2,-1
at.5_F_06,ufscc,64,spotba,2,0.030,2016-07-04.22:41:23,0,10,90,127,1318,127,0,0,127,127,2,-1
at.5_F_07,ufscc,64,spotba,1,0.020,2016-07-04.22:41:26,0,1,6,64,448,64,0,0,64,64,2,-1
at.5_F_08,ufscc,64,spotba,3,0.040,2016-07-04.22:41:30,0,53,390,224,1612,178,0,0,224,224,2,-1
at.5_F_11,ufscc,64,spotba,11,0.110,2016-07-04.22:41:32,0,536,2240,743,3538,148,0,1,743,743,2,-1
at.5_F_12,ufscc,64,spotba,2,0.040,2016-07-04.22:41:34,0,10,90,128,1378,128,0,0,128,128,2,-1
at.5_T_03,ufscc,64,spotba,29,0.110,2016-07-04.22:41:39,0,457,2086,647,3286,163,0,2,647,647,2,-1
at.5_T_04,ufscc,64,spotba,2,0.040,2016-07-04.22:41:44,0,10,90,128,1420,128,0,0,128,128,2,-1
at.5_T_09,ufscc,64,spotba,13,0.130,2016-07-04.22:41:46,0,724,2913,957,4256,181,0,5,957,957,2,-1
at.5_T_10,ufscc,64,spotba,2,0.030,2016-07-04.22:41:48,0,10,84,128,1360,128,0,0,128,128,2,-1
at.6_F_01,ufscc,64,spotba,1,0.010,2016-07-04.22:41:51,0,1,6,64,448,64,0,0,64,64,2,-1
at.6_F_02,ufscc,64,spotba,3,0.040,2016-07-04.22:41:53,0,50,354,223,1570,175,0,0,223,223,2,-1
at.6_F_05,ufscc,64,spotba,8,0.090,2016-07-04.22:41:57,0,305,1632,519,2965,129,0,0,519,519,2,-1
at.6_F_06,ufscc,64,spotba,2,0.030,2016-07-04.22:42:00,0,10,90,125,1330,125,0,0,125,125,2,-1
at.6_T_03,ufscc,64,spotba,16,0.150,2016-07-04.22:42:02,0,1019,3888,1273,5327,200,0,4,1273,1273,2,-1
at.6_T_04,ufscc,64,spotba,2,0.030,2016-07-04.22:42:04,0,10,90,128,1354,128,0,0,128,128,2,-1
at.7_F_01,ufscc,64,spotba,1,0.020,2016-07-04.22:42:07,0,1,7,64,512,64,0,0,64,64,2,-1
at.7_F_02,ufscc,64,spotba,3,0.050,2016-07-04.22:42:09,0,58,490,219,1849,182,0,0,219,219,2,-1
at.7_F_05,ufscc,64,spotba,7,0.100,2016-07-04.22:42:12,0,347,2126,539,3527,162,0,0,539,539,2,-1
at.7_F_06,ufscc,64,spotba,2,0.040,2016-07-04.22:42:14,0,12,133,128,1688,128,0,0,128,128,2,-1
at.7_T_03,ufscc,64,spotba,13,0.140,2016-07-04.22:42:19,0,670,3290,864,4706,172,0,1,864,864,2,-1
bakery.1_F_01,ufscc,64,spotba,11,0.040,2016-07-04.22:42:20,0,79,143,725,1398,0,0,7,725,725,2,-1
bakery.1_F_02,ufscc,64,spotba,36,0.280,2016-07-04.22:42:22,1016,2232,5372,16846,37077,3,7202,1379,16529,5302,2,-1
bakery.1_F_05,ufscc,64,spotba,11,0.040,2016-07-04.22:42:23,0,62,114,672,1318,0,0,3,672,672,2,-1
bakery.1_F_06,ufscc,64,spotba,98,0.280,2016-07-04.22:42:25,1128,2322,5668,14115,34190,3,7227,1138,13897,5475,2,-1
bakery.1_F_08,ufscc,64,spotba,11,0.100,2016-07-04.22:42:27,157,686,1320,3593,6977,0,524,126,3576,2564,3,-1
bakery.1_T_03,ufscc,64,spotba,11,0.040,2016-07-04.22:42:29,0,69,123,722,1393,0,0,6,722,722,2,-1
bakery.1_T_04,ufscc,64,spotba,11,0.050,2016-07-04.22:42:31,46,112,187,1047,1984,0,45,7,1047,889,2,-1
